#   1 Xpos                ""                                              [""]
#   2 Ypos                ""                                              [""]
#   3 in_area             mask value (addmask)                           
#   4 Flux                ""                                              [""]
#   5 Fluxer              ""                                              [""]
3100.33 140.295 0 0.438711 0.0218270
6375.01 102.013 0 0.474610 0.0175990
7261.79 152.370 0 1.25466 0.0182800
8112.22 144.964 0 0.108299 0.0198000
4395.39 132.691 0 0.451045 0.0216520
4217.12 136.099 0 22.0599 0.0207940
8268.31 229.122 0 27.8703 0.0204240
8646.66 112.805 0 1.12932 0.0220400
2689.55 142.638 0 6.05842 0.0214650
2217.82 108.153 0 2.30666 0.0204310
3506.08 110.264 0 0.273956 0.0215520
6714.97 145.779 0 0.117825 0.0177790
216.207 147.512 0 0.113714 0.0218140
8193.40 137.662 0 0.192732 0.0198960
4126.49 147.431 0 0.164855 0.0216380
7875.58 147.843 0 0.120432 0.0199540
8860.01 106.554 0 0.857967 0.0277700
993.998 149.205 0 0.0599650 0.0209650
7649.56 185.808 0 11.9400 0.0204480
6227.62 130.969 0 0.525751 0.0175990
2431.26 149.452 0 0.128755 0.0205540
6890.59 149.683 0 0.103385 0.0179270
6228.42 149.929 0 0.0601660 0.0175990
2796.99 149.511 0 1.69708 0.0216300
6392.63 149.529 0 0.129758 0.0175990
7654.05 136.606 0 0.234647 0.0201550
8026.35 111.528 0 9.02631 0.0201840
5612.19 150.941 0 0.117625 0.0187660
5919.08 151.492 0 0.0892460 0.0175990
7978.35 151.152 0 0.125045 0.0193320
7369.93 151.727 0 0.170170 0.0197280
9729.30 151.785 0 0.367113 0.0459740
3030.93 146.997 0 0.293710 0.0215440
1813.17 151.604 0 0.103887 0.0195890
1137.84 148.266 0 0.368316 0.0207320
3948.21 152.872 0 0.118627 0.0198500
6218.49 140.631 0 0.445429 0.0175990
1013.54 121.316 0 0.436304 0.0209030
2861.09 151.750 0 0.371926 0.0210110
5636.12 112.178 0 0.710360 0.0187470
567.347 154.346 0 0.0922550 0.0219140
7303.01 117.914 0 1.31523 0.0191320
8497.12 154.653 0 0.175083 0.0203350
6208.20 151.013 0 0.126950 0.0176960
5560.83 142.668 0 0.169768 0.0187900
3113.75 155.538 0 0.186615 0.0217780
8629.76 156.615 0 0.143496 0.0222690
3492.23 136.661 0 6.54225 0.0211340
3877.75 156.523 0 0.0539490 0.0213250
3123.20 149.420 0 0.297521 0.0215710
5454.92 141.240 0 0.933275 0.0190850
3706.90 149.419 0 1.35865 0.0216320
5241.63 146.900 0 3.91300 0.0191950
6573.52 159.440 0 0.122739 0.0175990
8090.10 158.776 0 -99.0000 -99.0000
246.032 138.352 0 0.702238 0.0220510
6663.35 160.374 0 0.0690910 0.0178040
3527.83 123.168 0 0.880329 0.0219930
8587.51 119.380 0 3.48020 0.0225460
3773.54 135.329 0 1.11528 0.0224900
8636.72 159.791 0 0.159239 0.0209650
8492.08 161.196 0 0.154927 0.0210450
698.879 156.229 0 0.577995 0.0210500
1892.50 271.759 0 38.2713 0.0200480
525.006 153.539 0 0.745958 0.0220070
301.305 160.350 0 2.52587 0.0219600
1683.46 123.465 0 1.16752 0.0189940
1102.55 162.766 0 0.130159 0.0205360
7072.86 164.260 0 0.100277 0.0175990
5816.15 135.310 0 0.970678 0.0175990
7502.37 163.672 0 0.0766110 0.0196470
